"Id","IsDeleted","MasterRecordId","Name","Type","ParentId","BillingStreet","BillingCity","BillingState","BillingPostalCode","BillingCountry","BillingLatitude","BillingLongitude","ShippingStreet","ShippingCity","ShippingState","ShippingPostalCode","ShippingCountry","ShippingLatitude","ShippingLongitude","Phone","Fax","AccountNumber","Website","PhotoUrl","Sic","Industry","AnnualRevenue","NumberOfEmployees","Ownership","TickerSymbol","Description","Rating","Site","OwnerId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","Jigsaw","JigsawCompanyId","CleanStatus","AccountSource","DunsNumber","Tradestyle","NaicsCode","NaicsDesc","YearStarted","SicDesc","DandbCompanyId","CustomerPriority__c","SLA__c","Active__c","NumberofLocations__c","UpsellOpportunity__c","SLASerialNumber__c","SLAExpirationDate__c"
"00136000002R6zdAAC",0,,"Alex Fabre",,,,,,,,,,,,,,,,,"(415) 555-1212",,,,"/services/images/photo/00136000002R6zdAAC",,,,,,,,,,"00536000000alhkAAA","01/26/2016 01:34:03","00536000000alhkAAA","01/26/2016 01:34:03","00536000000alhkAAA","01/26/2016 01:34:03",,,,,,"Pending",,,,,,,,,,,,,,,
"00136000002R6zeAAC",0,,"Michael Wakefield",,,,,,,,,,,,,,,,,"(401) 831-9284",,,,"/services/images/photo/00136000002R6zeAAC",,,,,,,,,,"00536000000alhkAAA","01/26/2016 01:34:03","00536000000alhkAAA","01/26/2016 01:34:03","00536000000alhkAAA","01/26/2016 01:34:03",,,,,,"Pending",,,,,,,,,,,,,,,
"00136000002R6zfAAC",0,,"Eric Korb",,,,,,,,,,,,,,,,,"(908) 769-4252",,,,"/services/images/photo/00136000002R6zfAAC",,,,,,,,,,"00536000000alhkAAA","01/26/2016 01:34:03","00536000000alhkAAA","01/26/2016 01:34:03","00536000000alhkAAA","01/26/2016 01:34:03",,,,,,"Pending",,,,,,,,,,,,,,,
"00136000002R6zgAAC",0,,"Katie Fischer",,,,,,,,,,,,,,,,,,,,,"/services/images/photo/00136000002R6zgAAC",,,,,,,,,,"00536000000alhkAAA","01/26/2016 01:34:03","00536000000alhkAAA","01/26/2016 01:34:03","00536000000alhkAAA","01/26/2016 01:34:03",,,,,,"Pending",,,,,,,,,,,,,,,
"00136000002R6zhAAC",0,,"Test a",,,,,,,,,,,,,,,,,"(907) 876-7878",,,,"/services/images/photo/00136000002R6zhAAC",,,,,,,,,,"00536000000alhkAAA","01/26/2016 01:34:03","00536000000alhkAAA","01/26/2016 01:34:03","00536000000alhkAAA","01/26/2016 01:34:03",,,,,,"Pending",,,,,,,,,,,,,,,
"00136000002R6ziAAC",0,,"CPSA",,,,,,,,,,,,,,,,,"(905) 219-8562",,,,"/services/images/photo/00136000002R6ziAAC",,,,,,,,,,"00536000000alhkAAA","01/26/2016 01:34:03","00536000000alhkAAA","01/26/2016 01:34:03","00536000000alhkAAA","01/26/2016 01:34:03",,,,,,"Pending",,,,,,,,,,,,,,,
"00136000002R6zjAAC",0,,"Celia Corp",,,,,,,,,,,,,,,,,,,,,"/services/images/photo/00136000002R6zjAAC",,,,,,,,,,"00536000000alhkAAA","01/26/2016 01:34:03","00536000000alhkAAA","01/26/2016 01:34:03","00536000000alhkAAA","01/26/2016 01:34:03",,,,,,"Pending",,,,,,,,,,,,,,,
"00136000002R6zkAAC",0,,"test",,,,,,,,,,,,,,,,,,,,,"/services/images/photo/00136000002R6zkAAC",,,,,,,,,,"00536000000alhkAAA","01/26/2016 01:34:03","00536000000alhkAAA","01/26/2016 01:34:03","00536000000alhkAAA","01/26/2016 01:34:03",,,,,,"Pending",,,,,,,,,,,,,,,
"00136000002R6zlAAC",0,,"Iain Bennett",,,,,,,,,,,,,,,,,,,,,"/services/images/photo/00136000002R6zlAAC",,,,,,,,,,"00536000000alhkAAA","01/26/2016 01:34:03","00536000000alhkAAA","01/26/2016 01:34:03","00536000000alhkAAA","01/26/2016 01:34:03",,,,,,"Pending",,,,,,,,,,,,,,,
"00136000002R6zmAAC",0,,"Test 2",,,,,,,,,,,,,,,,,"(650) 555-1212",,,,"/services/images/photo/00136000002R6zmAAC",,,,,,,,,,"00536000000alhkAAA","01/26/2016 01:34:03","00536000000alhkAAA","01/26/2016 01:34:03","00536000000alhkAAA","01/26/2016 01:34:03",,,,,,"Pending",,,,,,,,,,,,,,,
"00136000002R6znAAC",0,,"Wiggles Inc.",,,,,,,,,,,,,,,,,,,,,"/services/images/photo/00136000002R6znAAC",,,,,,,,,,"00536000000alhkAAA","01/26/2016 01:34:03","00536000000alhkAAA","01/26/2016 01:34:03","00536000000alhkAAA","01/26/2016 01:34:03",,,,,,"Pending",,,,,,,,,,,,,,,
